 # Namespace(batch_size=256, data_dir='cifar-data', dataset='CIFAR10', model='cnn_small', epochs=40, lr_schedule='cyclic', lr_max=0.003, attack='pgd', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.7823,0.0000,0.0000,0.1016,0.0039,0.0039,0.000000,0.68,1.54
 1,2.7022,0.0041,0.0000,0.1016,0.0156,0.0117,0.000048,0.13,9.80
 1,2.4770,0.0277,0.0156,0.1016,0.0586,0.0195,0.000096,0.10,15.64
 1,2.3424,0.0304,0.1055,0.1484,0.0859,0.0859,0.000144,0.06,20.19
 2,2.3079,0.0797,0.1250,0.1211,0.1016,0.0977,0.000192,0.15,25.91
 2,2.3060,0.0897,0.1016,0.0898,0.0859,0.0820,0.000240,0.08,33.20
 2,2.3045,0.0927,0.1016,0.0898,0.0898,0.0898,0.000288,0.07,39.04
 2,2.3040,0.0885,0.0859,0.1055,0.1016,0.1016,0.000337,0.06,43.62
 3,2.3035,0.1039,0.0820,0.1055,0.1016,0.1016,0.000385,0.15,49.33
 3,2.3033,0.0988,0.0859,0.1016,0.1016,0.1016,0.000433,0.12,56.80
 3,2.3032,0.0991,0.0859,0.1016,0.1016,0.1016,0.000481,0.07,63.49
 3,2.3032,0.0955,0.0859,0.1016,0.1016,0.1016,0.000529,0.06,68.17
 4,2.3028,0.1068,0.0820,0.0781,0.0781,0.0781,0.000577,0.06,73.11
 4,2.3029,0.0991,0.0820,0.0781,0.0781,0.0781,0.000625,0.10,80.38
 4,2.3029,0.0941,0.0938,0.0938,0.0938,0.0898,0.000673,0.14,87.49
 4,2.3028,0.0925,0.1445,0.0781,0.0742,0.0742,0.000721,0.09,92.52
 5,2.3027,0.0990,0.0859,0.1328,0.1328,0.1328,0.000769,0.08,97.43
 5,2.3027,0.0988,0.0859,0.1016,0.1016,0.1016,0.000817,0.11,104.28
 5,2.3027,0.0961,0.0859,0.1016,0.1016,0.1016,0.000865,0.08,111.37
 5,2.3027,0.0970,0.1133,0.1172,0.1172,0.1172,0.000913,0.08,117.09
 6,2.3026,0.1009,0.0859,0.1328,0.1328,0.1328,0.000962,0.06,122.13
 6,2.3027,0.1014,0.0859,0.1328,0.1328,0.1328,0.001010,0.12,128.28
 6,2.3027,0.0962,0.1289,0.1133,0.1133,0.1133,0.001058,0.11,135.26
 6,2.3027,0.0983,0.1055,0.0898,0.0898,0.0898,0.001106,0.05,141.54
 7,2.3026,0.0986,0.1016,0.0898,0.0898,0.0898,0.001154,0.07,146.62
 7,2.3027,0.0976,0.0820,0.0781,0.0781,0.0781,0.001202,0.10,151.74
 7,2.3027,0.0976,0.0938,0.0938,0.0938,0.0938,0.001250,0.09,159.05
 7,2.3027,0.0977,0.1289,0.1133,0.1133,0.1133,0.001298,0.06,166.06
 8,2.3027,0.0950,0.0703,0.1016,0.1016,0.1016,0.001346,0.07,171.13
 8,2.3026,0.1014,0.0859,0.1328,0.1328,0.1328,0.001394,0.07,175.83
 8,2.3027,0.0980,0.1289,0.1133,0.1133,0.1133,0.001442,0.09,182.83
 8,2.3028,0.0934,0.0898,0.0938,0.0938,0.0938,0.001490,0.08,189.73
 9,2.3027,0.0963,0.0820,0.0781,0.0781,0.0781,0.001538,0.08,195.45
 9,2.3027,0.0940,0.1289,0.1133,0.1133,0.1133,0.001587,0.07,199.99
 9,2.3027,0.0994,0.1445,0.0781,0.0781,0.0781,0.001635,0.15,206.94
 9,2.3027,0.0946,0.0820,0.0781,0.0781,0.0781,0.001683,0.04,213.50
 10,2.3026,0.0990,0.1055,0.0898,0.0898,0.0898,0.001731,0.09,220.00
 10,2.3027,0.0961,0.0938,0.0938,0.0938,0.0938,0.001779,0.06,224.63
 10,2.3028,0.0999,0.0938,0.0938,0.0938,0.0938,0.001827,0.11,230.46
 10,2.3028,0.0972,0.0859,0.1328,0.1328,0.1328,0.001875,0.04,236.77
 11,2.3027,0.1005,0.1055,0.0898,0.0898,0.0898,0.001923,0.07,244.46
 11,2.3028,0.0968,0.0820,0.0781,0.0781,0.0781,0.001971,0.07,249.06
 11,2.3027,0.0971,0.0820,0.0781,0.0781,0.0781,0.002019,0.10,254.10
 12,2.3028,0.0859,0.1133,0.1172,0.1172,0.1172,0.002067,0.13,261.46
 12,2.3026,0.1011,0.0859,0.1016,0.1016,0.1016,0.002115,0.05,268.79
 12,2.3027,0.0991,0.0859,0.1016,0.1016,0.1016,0.002163,0.10,273.39
 12,2.3022,0.0969,0.0938,0.1289,0.1406,0.1406,0.002212,0.07,278.01
 13,2.2547,0.1566,0.1406,0.1992,0.2031,0.2031,0.002260,0.13,285.45
 13,2.2290,0.1688,0.1758,0.2695,0.2188,0.2227,0.002308,0.09,292.63
 13,2.2095,0.1730,0.1914,0.3086,0.2461,0.2344,0.002356,0.10,297.97
 13,2.1779,0.1890,0.1523,0.2734,0.1992,0.1953,0.002404,0.08,302.50
 14,2.1835,0.1841,0.1953,0.3164,0.2148,0.2188,0.002452,0.12,309.57
 14,2.1586,0.1963,0.2344,0.3516,0.2578,0.2539,0.002500,0.09,316.54
 14,2.1462,0.2041,0.1758,0.3125,0.2148,0.2188,0.002548,0.07,321.66
 14,2.1523,0.2013,0.1992,0.3555,0.2500,0.2422,0.002596,0.08,326.33
 15,2.1362,0.2094,0.1992,0.3320,0.2227,0.2266,0.002644,0.13,333.36
 15,2.1470,0.2013,0.1875,0.3477,0.2461,0.2461,0.002692,0.08,340.36
 15,2.1493,0.2012,0.1680,0.3438,0.2344,0.2305,0.002740,0.07,345.74
 15,2.1347,0.2081,0.2148,0.3477,0.2500,0.2500,0.002788,0.05,350.54
 16,2.1298,0.2119,0.2109,0.3750,0.2422,0.2305,0.002837,0.11,357.56
 16,2.1269,0.2111,0.2227,0.3398,0.2539,0.2500,0.002885,0.09,364.78
 16,2.1323,0.2089,0.2148,0.3555,0.2383,0.2422,0.002933,0.08,369.91
 16,2.1333,0.2089,0.2188,0.3633,0.2734,0.2656,0.002981,0.05,374.52
 17,2.1361,0.2072,0.2227,0.3906,0.2617,0.2656,0.002981,0.15,381.59
 17,2.1255,0.2127,0.2148,0.3438,0.2461,0.2344,0.002949,0.15,388.62
 17,2.1177,0.2152,0.2109,0.3828,0.2695,0.2656,0.002917,0.07,393.87
 17,2.1205,0.2130,0.2031,0.3945,0.2539,0.2500,0.002885,0.05,398.70
 18,2.1212,0.2098,0.2266,0.3828,0.2617,0.2578,0.002853,0.12,405.88
 18,2.1166,0.2156,0.2266,0.3750,0.2812,0.2773,0.002821,0.10,412.97
 18,2.1138,0.2141,0.2148,0.3828,0.2461,0.2500,0.002788,0.06,418.71
 18,2.1191,0.2090,0.2305,0.3867,0.2773,0.2695,0.002756,0.05,423.26
 19,2.1138,0.2129,0.2227,0.3711,0.2578,0.2500,0.002724,0.11,429.74
 19,2.1198,0.2120,0.2031,0.3828,0.2461,0.2461,0.002692,0.12,436.71
 19,2.1107,0.2193,0.2266,0.3906,0.2773,0.2773,0.002660,0.08,443.18
 19,2.1156,0.2111,0.2266,0.3594,0.2422,0.2383,0.002628,0.03,447.67
 20,2.1058,0.2231,0.2266,0.3750,0.2539,0.2500,0.002596,0.15,453.86
 20,2.1035,0.2217,0.2031,0.3516,0.2227,0.2266,0.002564,0.12,460.96
 20,2.1061,0.2168,0.2227,0.3555,0.2070,0.2070,0.002532,0.08,467.92
 20,2.1115,0.2145,0.2266,0.3594,0.2461,0.2461,0.002500,0.03,472.03
 21,2.1057,0.2155,0.2148,0.3633,0.2461,0.2422,0.002468,0.08,477.51
 21,2.1085,0.2176,0.2148,0.3711,0.2422,0.2422,0.002436,0.09,485.04
 21,2.1046,0.2142,0.1836,0.3516,0.2188,0.2148,0.002404,0.10,492.02
 22,2.0864,0.2242,0.2188,0.3906,0.2617,0.2656,0.002372,0.07,497.21
 22,2.0969,0.2203,0.2148,0.3555,0.2266,0.2344,0.002340,0.06,502.09
 22,2.1035,0.2194,0.2305,0.3906,0.2734,0.2773,0.002308,0.11,509.06
 22,2.1048,0.2157,0.2070,0.3789,0.2461,0.2422,0.002276,0.07,516.31
 23,2.0952,0.2234,0.1953,0.3789,0.2383,0.2383,0.002244,0.06,522.34
 23,2.0970,0.2201,0.2109,0.3711,0.2344,0.2266,0.002212,0.06,527.17
 23,2.0984,0.2195,0.2344,0.3828,0.2578,0.2500,0.002179,0.12,533.47
 23,2.1054,0.2153,0.2148,0.3789,0.2773,0.2695,0.002147,0.10,540.57
 24,2.1001,0.2164,0.2383,0.3555,0.2266,0.2266,0.002115,0.09,547.19
 24,2.0923,0.2236,0.2109,0.3750,0.2344,0.2383,0.002083,0.06,551.80
 24,2.0967,0.2189,0.2109,0.3711,0.2266,0.2227,0.002051,0.14,557.55
 24,2.0964,0.2241,0.2227,0.3828,0.2578,0.2578,0.002019,0.12,564.54
 25,2.0906,0.2244,0.2109,0.3594,0.2266,0.2188,0.001987,0.07,571.53
 25,2.0934,0.2209,0.2266,0.3984,0.2578,0.2500,0.001955,0.05,576.23
 25,2.0993,0.2191,0.2148,0.3867,0.2578,0.2578,0.001923,0.11,581.05
 25,2.0866,0.2262,0.2070,0.3633,0.2266,0.2344,0.001891,0.09,588.35
 26,2.0925,0.2252,0.2305,0.3750,0.2656,0.2617,0.001859,0.12,595.90
 26,2.0960,0.2246,0.2148,0.3750,0.2383,0.2383,0.001827,0.08,600.66
 26,2.0945,0.2218,0.1992,0.3477,0.2227,0.2266,0.001795,0.06,605.35
 26,2.0890,0.2217,0.2148,0.3867,0.2656,0.2617,0.001763,0.09,612.48
 27,2.0919,0.2277,0.2383,0.3984,0.2617,0.2578,0.001731,0.11,620.22
 27,2.0901,0.2258,0.2188,0.3867,0.2617,0.2578,0.001699,0.07,625.42
 27,2.0985,0.2145,0.2266,0.4023,0.2656,0.2539,0.001667,0.06,630.05
 27,2.0863,0.2263,0.2031,0.3477,0.2305,0.2266,0.001635,0.10,636.71
 28,2.0995,0.2214,0.2305,0.3828,0.2656,0.2500,0.001603,0.14,644.11
 28,2.0905,0.2231,0.2109,0.3750,0.2344,0.2383,0.001571,0.08,650.07
 28,2.0879,0.2224,0.1992,0.3750,0.2266,0.2266,0.001538,0.07,654.63
 28,2.0865,0.2245,0.2266,0.3672,0.2461,0.2461,0.001506,0.06,660.28
 29,2.0972,0.2226,0.2109,0.3867,0.2773,0.2695,0.001474,0.09,667.86
 29,2.0876,0.2216,0.2109,0.3945,0.2734,0.2695,0.001442,0.07,674.26
 29,2.0784,0.2296,0.2305,0.3945,0.2617,0.2578,0.001410,0.06,678.85
 29,2.0873,0.2219,0.2344,0.3750,0.2656,0.2656,0.001378,0.03,683.28
 30,2.0865,0.2293,0.2266,0.3945,0.2578,0.2539,0.001346,0.15,691.43
 30,2.0888,0.2259,0.2305,0.3945,0.3008,0.3008,0.001314,0.06,698.04
 30,2.0775,0.2291,0.2109,0.3477,0.2344,0.2227,0.001282,0.05,702.70
 30,2.0860,0.2227,0.2188,0.3867,0.2734,0.2734,0.001250,0.03,706.81
 31,2.0825,0.2220,0.1914,0.3750,0.2461,0.2500,0.001218,0.09,715.30
 31,2.0787,0.2318,0.2148,0.3867,0.2422,0.2422,0.001186,0.08,721.73
 31,2.0859,0.2216,0.2266,0.3945,0.2695,0.2734,0.001154,0.07,726.29
 32,2.0633,0.2406,0.2070,0.3789,0.2500,0.2539,0.001122,0.11,731.27
 32,2.0866,0.2274,0.2148,0.3672,0.2773,0.2773,0.001090,0.10,738.92
 32,2.0829,0.2293,0.2383,0.3711,0.2461,0.2461,0.001058,0.06,745.69
 32,2.0777,0.2265,0.2148,0.3750,0.2578,0.2539,0.001026,0.08,750.52
 33,2.0746,0.2391,0.2188,0.3867,0.2578,0.2578,0.000994,0.08,755.55
 33,2.0777,0.2274,0.2109,0.3789,0.2734,0.2734,0.000962,0.15,762.94
 33,2.0784,0.2339,0.2305,0.4023,0.2695,0.2695,0.000929,0.12,770.07
 33,2.0783,0.2242,0.2109,0.3711,0.2812,0.2773,0.000897,0.07,775.23
 34,2.0774,0.2180,0.2266,0.3945,0.2773,0.2734,0.000865,0.08,780.21
 34,2.0814,0.2202,0.2266,0.3438,0.2422,0.2461,0.000833,0.13,786.89
 34,2.0770,0.2262,0.2148,0.3906,0.2461,0.2422,0.000801,0.13,794.02
 34,2.0828,0.2294,0.2109,0.3906,0.2422,0.2383,0.000769,0.04,799.82
 35,2.0808,0.2260,0.1992,0.3906,0.2461,0.2344,0.000737,0.08,804.86
 35,2.0734,0.2301,0.2031,0.3711,0.2656,0.2578,0.000705,0.10,810.45
 35,2.0799,0.2288,0.2227,0.3828,0.2578,0.2539,0.000673,0.10,817.52
 35,2.0804,0.2285,0.2305,0.3828,0.2422,0.2383,0.000641,0.06,824.14
 36,2.0737,0.2239,0.2109,0.3789,0.2773,0.2773,0.000609,0.05,829.14
 36,2.0632,0.2346,0.2070,0.3828,0.2461,0.2461,0.000577,0.15,833.99
 36,2.0740,0.2286,0.2227,0.3789,0.2578,0.2617,0.000545,0.13,841.05
 36,2.0835,0.2280,0.2148,0.3906,0.2461,0.2461,0.000513,0.11,848.04
 37,2.0722,0.2270,0.2070,0.3711,0.2461,0.2383,0.000481,0.06,853.52
 37,2.0667,0.2306,0.2070,0.3984,0.2695,0.2617,0.000449,0.07,858.30
 37,2.0836,0.2286,0.2227,0.3906,0.2734,0.2656,0.000417,0.08,865.30
 37,2.0759,0.2281,0.1953,0.3906,0.2578,0.2461,0.000385,0.11,872.13
 38,2.0670,0.2271,0.2070,0.3750,0.2539,0.2461,0.000353,0.09,878.15
 38,2.0709,0.2286,0.2109,0.3984,0.2773,0.2695,0.000321,0.08,882.76
 38,2.0765,0.2298,0.2188,0.3867,0.2695,0.2617,0.000288,0.12,888.89
 38,2.0768,0.2303,0.2148,0.3906,0.2930,0.2930,0.000256,0.08,895.77
 39,2.0718,0.2312,0.2188,0.3867,0.2500,0.2617,0.000224,0.06,902.45
 39,2.0751,0.2298,0.2188,0.3867,0.2734,0.2734,0.000192,0.09,907.02
 39,2.0700,0.2366,0.2188,0.3906,0.2891,0.2773,0.000160,0.12,912.29
 39,2.0671,0.2304,0.2188,0.3906,0.2617,0.2617,0.000128,0.04,919.25
 40,2.0655,0.2336,0.2227,0.3867,0.2734,0.2695,0.000096,0.08,926.91
 40,2.0698,0.2367,0.2148,0.3906,0.2656,0.2617,0.000064,0.06,931.53
 40,2.0721,0.2300,0.2148,0.3945,0.2617,0.2578,0.000032,0.04,936.16
 40,2.0788,0.2291,0.2227,0.3945,0.2617,0.2617,0.000000,0.04,942.63
