 # Namespace(batch_size=256, data_dir='cifar-data', dataset='FashionMNIST', model='cnn_small', epochs=20, lr_schedule='cyclic', lr_max=0.003, attack='pgd', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.4246,0.0000,0.0000,0.1289,0.0000,0.0000,0.000000,0.48,0.94
 1,2.3947,0.0016,0.0000,0.2891,0.0508,0.0234,0.000080,0.08,6.69
 1,2.2317,0.1720,0.4258,0.5586,0.4414,0.4102,0.000160,0.05,10.87
 1,1.3832,0.5287,0.6250,0.7305,0.6289,0.6250,0.000240,0.05,13.86
 1,0.9104,0.6552,0.6758,0.7812,0.6953,0.6836,0.000321,0.03,16.89
 2,0.8218,0.6833,0.7070,0.7969,0.7305,0.7305,0.000401,0.08,20.50
 2,0.7708,0.7013,0.7188,0.8047,0.7461,0.7344,0.000481,0.04,25.14
 2,0.7393,0.7147,0.7109,0.8203,0.7383,0.7344,0.000561,0.06,29.87
 2,0.7298,0.7165,0.7539,0.8242,0.7461,0.7461,0.000641,0.04,34.57
 2,0.6927,0.7299,0.7539,0.8398,0.7539,0.7500,0.000721,0.04,37.62
 3,0.6625,0.7444,0.7695,0.8320,0.7617,0.7500,0.000801,0.04,40.97
 3,0.6608,0.7484,0.7773,0.8555,0.7656,0.7617,0.000881,0.04,43.97
 3,0.6350,0.7490,0.7812,0.8320,0.7656,0.7578,0.000962,0.06,48.28
 3,0.6385,0.7520,0.7500,0.8516,0.7891,0.7852,0.001042,0.09,52.96
 3,0.6276,0.7542,0.7695,0.8320,0.7812,0.7773,0.001122,0.03,57.39
 4,0.5982,0.7670,0.7812,0.8477,0.7734,0.7695,0.001202,0.04,61.51
 4,0.6068,0.7645,0.7930,0.8438,0.7891,0.7812,0.001282,0.04,64.62
 4,0.6021,0.7647,0.7891,0.8633,0.7852,0.7852,0.001362,0.04,67.69
 4,0.5815,0.7706,0.8047,0.8516,0.7734,0.7656,0.001442,0.07,71.41
 5,0.5673,0.7746,0.8164,0.8477,0.7852,0.7852,0.001522,0.06,76.42
 5,0.5721,0.7795,0.7852,0.8672,0.7891,0.7734,0.001603,0.08,81.39
 5,0.5733,0.7770,0.8359,0.8789,0.7812,0.7734,0.001683,0.04,85.23
 5,0.5560,0.7798,0.7930,0.8516,0.7812,0.7812,0.001763,0.04,88.26
 5,0.5672,0.7780,0.8125,0.8516,0.7891,0.7812,0.001843,0.04,91.25
 6,0.5663,0.7835,0.7969,0.8477,0.7930,0.7891,0.001923,0.09,95.03
 6,0.5469,0.7875,0.8203,0.8633,0.8086,0.8086,0.002003,0.07,99.56
 6,0.5431,0.7866,0.8164,0.8516,0.7891,0.7852,0.002083,0.08,104.27
 6,0.5395,0.7878,0.8203,0.8594,0.7930,0.7930,0.002163,0.05,108.83
 6,0.5329,0.7930,0.8281,0.8516,0.7891,0.7852,0.002244,0.03,111.72
 7,0.5189,0.7959,0.8086,0.8594,0.8164,0.8086,0.002324,0.05,115.24
 7,0.5288,0.7888,0.8203,0.8711,0.8164,0.8086,0.002404,0.03,118.23
 7,0.5306,0.7926,0.7930,0.8594,0.8086,0.8047,0.002484,0.07,122.67
 7,0.5238,0.7932,0.8203,0.8594,0.8164,0.8203,0.002564,0.09,127.47
 8,0.5213,0.7920,0.8164,0.8594,0.7969,0.7930,0.002644,0.07,132.69
 8,0.5192,0.7945,0.8047,0.8633,0.7969,0.7852,0.002724,0.04,135.83
 8,0.5124,0.8004,0.7969,0.8789,0.7891,0.7773,0.002804,0.04,138.84
 8,0.5206,0.7947,0.8086,0.8750,0.8164,0.8086,0.002885,0.05,141.84
 8,0.5141,0.7928,0.7930,0.8633,0.8086,0.8086,0.002965,0.06,145.79
 9,0.5010,0.8058,0.7969,0.8594,0.7969,0.7969,0.002970,0.06,150.92
 9,0.5080,0.8000,0.8203,0.8672,0.8086,0.8008,0.002917,0.06,155.69
 9,0.5079,0.7986,0.8047,0.8711,0.8242,0.8125,0.002863,0.04,159.43
 9,0.4952,0.8011,0.8164,0.8555,0.8125,0.8047,0.002810,0.04,162.50
 9,0.5115,0.7970,0.8125,0.8633,0.8164,0.8203,0.002756,0.04,166.66
 10,0.4866,0.8027,0.8125,0.8906,0.8164,0.8164,0.002703,0.06,172.90
 10,0.5079,0.7995,0.8281,0.8828,0.8203,0.8164,0.002650,0.08,178.46
 10,0.4822,0.8100,0.8164,0.8711,0.8203,0.8125,0.002596,0.06,183.33
 10,0.4854,0.8040,0.8281,0.8711,0.8242,0.8203,0.002543,0.04,186.49
 11,0.4893,0.8004,0.8398,0.8750,0.8008,0.7969,0.002489,0.04,189.86
 11,0.4792,0.8105,0.8320,0.8750,0.8203,0.8203,0.002436,0.04,192.86
 11,0.4735,0.8129,0.8281,0.8594,0.8125,0.8125,0.002382,0.04,196.89
 11,0.4859,0.8079,0.8320,0.8711,0.8320,0.8203,0.002329,0.06,201.44
 11,0.4819,0.8064,0.8203,0.8789,0.8320,0.8320,0.002276,0.08,206.26
 12,0.4543,0.8190,0.8359,0.8789,0.8125,0.8125,0.002222,0.04,210.40
 12,0.4622,0.8162,0.8242,0.8945,0.8398,0.8320,0.002169,0.07,213.46
 12,0.4662,0.8090,0.8164,0.8672,0.8164,0.8047,0.002115,0.05,216.51
 12,0.4755,0.8119,0.8203,0.8867,0.8086,0.8047,0.002062,0.07,219.90
 12,0.4737,0.8127,0.8203,0.8945,0.8359,0.8203,0.002009,0.04,224.28
 13,0.4524,0.8189,0.8242,0.8828,0.8320,0.8281,0.001955,0.08,229.63
 13,0.4625,0.8152,0.8125,0.8867,0.8398,0.8359,0.001902,0.06,234.07
 13,0.4669,0.8131,0.8281,0.8789,0.8320,0.8242,0.001848,0.03,237.06
 13,0.4529,0.8184,0.8398,0.8984,0.8438,0.8398,0.001795,0.04,240.07
 14,0.4324,0.8271,0.8281,0.8828,0.8438,0.8398,0.001741,0.04,243.45
 14,0.4429,0.8232,0.8164,0.8750,0.8203,0.8164,0.001688,0.07,248.07
 14,0.4617,0.8173,0.8359,0.8789,0.8203,0.8164,0.001635,0.06,252.87
 14,0.4439,0.8209,0.8242,0.8750,0.8242,0.8242,0.001581,0.07,257.73
 14,0.4592,0.8214,0.8320,0.8828,0.8359,0.8320,0.001528,0.04,260.78
 15,0.4420,0.8211,0.8281,0.8945,0.8438,0.8398,0.001474,0.04,264.12
 15,0.4411,0.8253,0.8398,0.8906,0.8242,0.8203,0.001421,0.04,267.17
 15,0.4452,0.8172,0.8398,0.8711,0.8320,0.8281,0.001368,0.08,271.32
 15,0.4402,0.8291,0.8438,0.8750,0.8281,0.8281,0.001314,0.05,276.00
 15,0.4434,0.8229,0.8438,0.8828,0.8203,0.8203,0.001261,0.04,280.72
 16,0.4291,0.8258,0.8203,0.8945,0.8398,0.8359,0.001207,0.05,284.73
 16,0.4319,0.8279,0.8203,0.9062,0.8398,0.8398,0.001154,0.04,287.77
 16,0.4383,0.8266,0.8359,0.8945,0.8359,0.8242,0.001100,0.04,290.79
 16,0.4340,0.8295,0.8477,0.8555,0.8203,0.8164,0.001047,0.08,294.40
 17,0.4205,0.8379,0.8359,0.8789,0.8281,0.8281,0.000994,0.07,299.44
 17,0.4361,0.8254,0.8438,0.8984,0.8438,0.8398,0.000940,0.09,304.31
 17,0.4184,0.8324,0.8398,0.9062,0.8359,0.8320,0.000887,0.04,308.49
 17,0.4279,0.8285,0.8555,0.8945,0.8438,0.8438,0.000833,0.04,311.50
 17,0.4296,0.8293,0.8477,0.8984,0.8281,0.8242,0.000780,0.05,314.53
 18,0.4230,0.8267,0.8516,0.9023,0.8438,0.8359,0.000726,0.06,318.19
 18,0.4119,0.8347,0.8359,0.9023,0.8359,0.8281,0.000673,0.07,322.74
 18,0.4221,0.8321,0.8477,0.8789,0.8281,0.8281,0.000620,0.05,327.56
 18,0.4156,0.8337,0.8516,0.8867,0.8320,0.8281,0.000566,0.04,332.29
 18,0.4176,0.8366,0.8398,0.8867,0.8398,0.8359,0.000513,0.03,335.32
 19,0.4053,0.8387,0.8438,0.8945,0.8359,0.8359,0.000459,0.05,338.68
 19,0.4159,0.8354,0.8398,0.8906,0.8320,0.8281,0.000406,0.03,341.67
 19,0.4095,0.8328,0.8398,0.8945,0.8242,0.8203,0.000353,0.06,345.98
 19,0.4044,0.8373,0.8320,0.8984,0.8320,0.8320,0.000299,0.08,350.67
 20,0.3644,0.8623,0.8359,0.8945,0.8359,0.8359,0.000246,0.08,355.83
 20,0.4073,0.8359,0.8438,0.8945,0.8320,0.8320,0.000192,0.04,359.22
 20,0.3970,0.8431,0.8398,0.9023,0.8398,0.8320,0.000139,0.06,362.30
 20,0.3958,0.8397,0.8359,0.9062,0.8320,0.8242,0.000085,0.05,365.35
 20,0.4010,0.8434,0.8438,0.9062,0.8359,0.8281,0.000032,0.06,369.05
