 # Namespace(batch_size=256, data_dir='cifar-data', dataset='MNIST', model='cnn_small', epochs=20, lr_schedule='cyclic', lr_max=0.003, attack='pgd', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.3757,0.0078,0.0039,0.1445,0.0156,0.0000,0.000000,0.39,0.91
 1,2.3556,0.0233,0.0664,0.3281,0.1406,0.0547,0.000080,0.06,4.62
 1,2.2142,0.3053,0.5547,0.6094,0.5391,0.4766,0.000160,0.05,7.74
 1,1.3141,0.6616,0.7891,0.8359,0.7461,0.7148,0.000240,0.04,10.87
 1,0.6089,0.8149,0.8359,0.9102,0.8555,0.8477,0.000321,0.03,15.14
 2,0.4014,0.8796,0.8750,0.9375,0.8906,0.8828,0.000401,0.05,20.21
 2,0.3779,0.8850,0.9102,0.9727,0.9453,0.9453,0.000481,0.09,25.04
 2,0.2865,0.9144,0.9219,0.9805,0.9570,0.9570,0.000561,0.04,28.48
 2,0.2420,0.9302,0.9453,0.9844,0.9688,0.9688,0.000641,0.04,31.50
 2,0.2077,0.9334,0.9414,0.9961,0.9766,0.9766,0.000721,0.04,34.47
 3,0.1842,0.9430,0.9414,0.9883,0.9688,0.9688,0.000801,0.05,38.69
 3,0.1630,0.9482,0.9453,0.9844,0.9727,0.9727,0.000881,0.07,43.29
 3,0.1559,0.9520,0.9414,0.9922,0.9844,0.9844,0.000962,0.07,48.13
 3,0.1442,0.9539,0.9570,0.9922,0.9883,0.9883,0.001042,0.04,52.16
 3,0.1454,0.9563,0.9609,0.9883,0.9766,0.9766,0.001122,0.02,54.99
 4,0.1284,0.9581,0.9648,0.9961,0.9727,0.9727,0.001202,0.04,58.57
 4,0.1330,0.9579,0.9570,0.9961,0.9766,0.9727,0.001282,0.07,61.87
 4,0.1160,0.9647,0.9570,0.9961,0.9883,0.9883,0.001362,0.06,66.38
 4,0.1160,0.9634,0.9609,0.9961,0.9844,0.9844,0.001442,0.08,71.14
 5,0.1097,0.9662,0.9648,0.9883,0.9883,0.9883,0.001522,0.04,76.00
 5,0.1075,0.9675,0.9766,0.9961,0.9766,0.9766,0.001603,0.04,79.02
 5,0.1105,0.9641,0.9688,1.0000,0.9922,0.9922,0.001683,0.04,82.01
 5,0.0957,0.9706,0.9648,0.9961,0.9844,0.9844,0.001763,0.04,84.99
 5,0.0956,0.9702,0.9648,0.9922,0.9805,0.9805,0.001843,0.05,89.22
 6,0.0770,0.9746,0.9648,0.9922,0.9883,0.9883,0.001923,0.05,94.39
 6,0.0862,0.9744,0.9648,0.9922,0.9805,0.9766,0.002003,0.07,99.17
 6,0.0915,0.9719,0.9609,0.9961,0.9844,0.9844,0.002083,0.04,102.47
 6,0.1000,0.9684,0.9531,0.9922,0.9727,0.9727,0.002163,0.06,105.48
 6,0.0999,0.9680,0.9609,1.0000,0.9883,0.9883,0.002244,0.02,108.37
 7,0.0755,0.9760,0.9648,0.9961,0.9844,0.9844,0.002324,0.05,112.71
 7,0.0850,0.9727,0.9609,0.9922,0.9844,0.9844,0.002404,0.07,117.32
 7,0.0823,0.9735,0.9609,0.9961,0.9805,0.9805,0.002484,0.07,122.26
 7,0.0761,0.9754,0.9648,0.9961,0.9844,0.9844,0.002564,0.05,126.34
 8,0.0608,0.9798,0.9688,0.9961,0.9883,0.9883,0.002644,0.03,129.66
 8,0.0744,0.9752,0.9766,0.9961,0.9883,0.9883,0.002724,0.04,132.63
 8,0.0824,0.9730,0.9727,0.9961,0.9766,0.9766,0.002804,0.09,135.84
 8,0.0770,0.9752,0.9766,0.9961,0.9805,0.9805,0.002885,0.07,140.28
 8,0.0829,0.9732,0.9805,0.9922,0.9805,0.9805,0.002965,0.07,145.01
 9,0.0737,0.9754,0.9609,0.9883,0.9727,0.9727,0.002970,0.04,150.09
 9,0.0686,0.9775,0.9609,0.9961,0.9844,0.9844,0.002917,0.04,153.13
 9,0.0805,0.9737,0.9727,1.0000,0.9805,0.9805,0.002863,0.04,156.11
 9,0.0715,0.9776,0.9648,0.9922,0.9805,0.9805,0.002810,0.04,159.09
 9,0.0741,0.9759,0.9766,0.9961,0.9883,0.9883,0.002756,0.03,163.09
 10,0.0582,0.9828,0.9727,0.9922,0.9766,0.9727,0.002703,0.08,168.45
 10,0.0628,0.9799,0.9766,1.0000,0.9883,0.9883,0.002650,0.07,173.18
 10,0.0645,0.9786,0.9688,0.9922,0.9844,0.9805,0.002596,0.04,176.67
 10,0.0694,0.9786,0.9766,0.9922,0.9805,0.9805,0.002543,0.03,179.71
 11,0.0431,0.9875,0.9766,0.9961,0.9844,0.9844,0.002489,0.05,183.11
 11,0.0550,0.9811,0.9844,0.9922,0.9805,0.9766,0.002436,0.04,186.79
 11,0.0589,0.9806,0.9766,0.9922,0.9883,0.9883,0.002382,0.07,191.56
 11,0.0577,0.9815,0.9727,0.9961,0.9844,0.9844,0.002329,0.07,197.22
 11,0.0694,0.9772,0.9805,0.9922,0.9883,0.9883,0.002276,0.06,202.34
 12,0.0477,0.9833,0.9766,0.9961,0.9805,0.9805,0.002222,0.08,207.43
 12,0.0469,0.9850,0.9883,0.9961,0.9883,0.9844,0.002169,0.04,210.49
 12,0.0572,0.9807,0.9727,0.9883,0.9766,0.9766,0.002115,0.07,215.05
 12,0.0546,0.9820,0.9688,0.9844,0.9844,0.9844,0.002062,0.06,219.76
 12,0.0578,0.9811,0.9805,0.9922,0.9727,0.9727,0.002009,0.03,224.44
 13,0.0414,0.9873,0.9727,0.9883,0.9727,0.9727,0.001955,0.04,228.09
 13,0.0489,0.9838,0.9688,0.9922,0.9883,0.9883,0.001902,0.04,231.09
 13,0.0496,0.9836,0.9766,0.9883,0.9844,0.9844,0.001848,0.04,234.14
 13,0.0483,0.9836,0.9766,0.9883,0.9805,0.9805,0.001795,0.05,238.26
 14,0.0353,0.9902,0.9688,0.9922,0.9883,0.9844,0.001741,0.05,243.39
 14,0.0360,0.9884,0.9844,0.9961,0.9883,0.9883,0.001688,0.06,248.12
 14,0.0398,0.9867,0.9805,0.9922,0.9883,0.9883,0.001635,0.04,251.71
 14,0.0464,0.9855,0.9805,0.9922,0.9883,0.9883,0.001581,0.04,254.74
 14,0.0459,0.9855,0.9766,0.9961,0.9883,0.9883,0.001528,0.05,257.74
 15,0.0367,0.9870,0.9805,0.9922,0.9922,0.9883,0.001474,0.07,261.67
 15,0.0389,0.9879,0.9727,1.0000,0.9922,0.9883,0.001421,0.07,266.20
 15,0.0393,0.9879,0.9844,0.9922,0.9883,0.9883,0.001368,0.08,271.04
 15,0.0383,0.9880,0.9805,0.9922,0.9805,0.9805,0.001314,0.04,275.27
 15,0.0380,0.9870,0.9844,0.9883,0.9805,0.9805,0.001261,0.02,278.26
 16,0.0296,0.9919,0.9883,0.9922,0.9805,0.9805,0.001207,0.04,281.67
 16,0.0306,0.9911,0.9805,0.9922,0.9805,0.9805,0.001154,0.04,284.83
 16,0.0387,0.9869,0.9805,0.9961,0.9766,0.9766,0.001100,0.07,289.25
 16,0.0376,0.9888,0.9844,0.9961,0.9844,0.9844,0.001047,0.06,293.98
 17,0.0252,0.9941,0.9766,0.9961,0.9844,0.9805,0.000994,0.08,299.21
 17,0.0268,0.9932,0.9844,0.9922,0.9922,0.9922,0.000940,0.04,302.30
 17,0.0266,0.9916,0.9844,0.9922,0.9883,0.9883,0.000887,0.04,305.41
 17,0.0252,0.9921,0.9844,0.9961,0.9844,0.9805,0.000833,0.04,308.38
 17,0.0315,0.9905,0.9844,0.9922,0.9883,0.9883,0.000780,0.08,312.25
 18,0.0199,0.9943,0.9844,0.9922,0.9922,0.9922,0.000726,0.06,317.34
 18,0.0214,0.9951,0.9805,0.9922,0.9883,0.9883,0.000673,0.07,322.04
 18,0.0202,0.9942,0.9805,0.9922,0.9922,0.9922,0.000620,0.04,325.81
 18,0.0254,0.9927,0.9883,0.9961,0.9883,0.9883,0.000566,0.04,328.82
 18,0.0269,0.9916,0.9883,0.9961,0.9844,0.9844,0.000513,0.04,331.84
 19,0.0189,0.9963,0.9922,0.9922,0.9883,0.9883,0.000459,0.06,335.80
 19,0.0198,0.9950,0.9922,0.9922,0.9883,0.9883,0.000406,0.10,340.20
 19,0.0184,0.9961,0.9922,0.9922,0.9844,0.9844,0.000353,0.08,344.96
 19,0.0178,0.9948,0.9922,0.9961,0.9883,0.9883,0.000299,0.05,349.53
 20,0.0262,0.9941,0.9883,0.9922,0.9922,0.9922,0.000246,0.05,352.92
 20,0.0148,0.9980,0.9922,0.9922,0.9922,0.9922,0.000192,0.03,355.98
 20,0.0165,0.9965,0.9883,0.9922,0.9844,0.9844,0.000139,0.05,359.03
 20,0.0152,0.9967,0.9922,0.9922,0.9922,0.9922,0.000085,0.08,363.37
 20,0.0142,0.9973,0.9922,0.9922,0.9922,0.9922,0.000032,0.07,368.17
