 Epoch, Train loss,Train acc, Learning Rate, Time, Time elapsed
 Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
 0, 248.3530,0.0961,0.0267,21.24,21.24
 1, 2732.5423,0.0982,0.0533,19.83,41.06
 2, 7309.7033,0.1033,0.0800,19.95,61.02
 3, 11311.9413,0.0979,0.1067,20.10,81.12
 4, 20409.6779,0.1006,0.1333,20.25,101.36
 5, 22279.8172,0.1013,0.1600,20.33,121.69
 6, 31133.2742,0.0996,0.1867,20.27,141.96
 7, 29033.4381,0.0996,0.1867,20.20,162.16
 8, 35121.5340,0.0991,0.1600,20.14,182.30
 9, 36635.4786,0.1024,0.1333,20.10,202.40
 10, 35999.0622,0.1005,0.1067,20.08,222.49
 11, 39664.8745,0.0985,0.0800,20.13,242.61
 12, 36222.6447,0.1005,0.0533,20.05,262.66
 13, 40728.6210,0.0990,0.0267,20.02,282.68
 14, 31706.9345,0.0998,0.0000,19.99,302.68
